ABUSE CARRY,45 menit jail
ABUSE FITUR FACTION DAN PENADAH BARANG ABUSE : 30 HARI - PERMANEN + WARN 8 – 19
ABUSE VEH JOB,15 MENIT
BAN EVANDING,BANNED PERMANEN
CAR JACKING,15 MENIT
CAR RAMMING ( OS ),20 MENIT
CAR SHURFING,15 MENIT
DM [Deathmatch],360HARI + 15 WARN
DOING SEX HARRASSEMENT,BANNED PERMANEN
DOING SEX HARRASSEMENT WITHOUT OOC PERMISSIONS,BANNED PERMANEN
DUAL UCP ,BANNED PERMANEN
EXPLOITING SERVER BUG, BANNED PERMANEN
FAIL ROB AFTER KILL,70 MENIT
FAIL ROB BAGASI,15 HARI + 5 WARN
FAIL ROB BANK / WARUNG,60 MENIT + Warn 2
FAIL SCAM,45 MENIT + 2 WARN ( ringan )
FAIL RP,60 MENIT + Warn 2
FACTION BEKERJA PEKERJAAN BALAIKOTA,JAIL 200 MENIT + 2 WARN
FORCE RP,30 MENIT
HAPPY TRIGGERING ( HT ),120 MENIT + Warn 2
HELI BLADING,60 MENIT
INSULT ADMIN DAN SERVER ,BANNED PERMANEN
INSULT ATTITUDE AND RESPECT,7 HARI
KILLING ON SIGHT ( KOS ),120 MENIT
KORUPT ACT IN FACTION,BANNED PERMANEN
LOGGING TO AVOID ( LTA/SENGAJA/QUIT ),3 HARI BANNED + 3 WARN
MENGETAHUI TEMAN OC/IC MENGGUNAKAN PROGRAM ILEGAL/DUAL UCP DLL ( YANG MERUGIKAN SERVER ),30 HARI BANNED
MG,30 MENIT
MIXXING,5 MENIT
MONEY FARMING ( Auto Clicker dll ),7 HARI + 5 WARN
MONEY MACHINE ( MM ),15 MENIT
NINJA JACKING,30 MENIT
NO IDENTITY ROLEPLAY ( RP TIDAK BERIDENTITAS ),60 MENIT - 1 HARI BANNED
NON RP ADS / FAIL IKLAN,10 MENIT
NON RP BEHAV,60 MENIT
NON RP CRASH,5 MENIT
NON RP DRIVING,30 MENIT
NON RP FEAR,90 MENIT
OOC LIE,14 HARI
OLIMPIC SWIMING ( OS ),20 MENIT
OVER SCAM? 3HARI + 5 WARN (berat)
Over failed RP,120 MENIT + Warn 2
PEMILIK BAGASI OVER SIZE +,15 WARN + 300 MENIT + DENDA $100.000
PG,15 MENIT
PPKO,7HARI +  5 WARN
PROGRAM ILEGAL [ MERUGIAN UNTUK PLAYER LAIN ],BANNED PERMANEN
PROVOK LEO,360 HARI
RAMBOING,30 MENIT
RANDOM PUNCH / FIGHT IN GZ / BOREN,KICK SERVER / 30 MENIT
REAL TRADING MONEY (RTM),BANNED PERMANEN 
REFUSE RP,45 MENIT
REFFIL AT WAR,35 MENIT
RETARD RP,60 MENIT
REVENGE KILL,35 MENIT
SENGAJA MENYIMPAN HARTA CK,PERMANEN 
SENGAJA/Q KETIKA BARANG RAMBOING/ILEGAL HENDAK DISITA ADMIN,30 HARI
SELL ILEGAL IN TWITTER,60 MENIT Warn 2
SHARING ACCOUNT,BANNED PERMANEN
SHARING HARTA KETIKA CK / RP WARISAN,BANNED PERMANEN
SHARING MONEY,30 - PERMANEN ( Reset harta )
SHOOT / OPEN FIRE AT GREEN ZONE,120 MENIT + Warn 2
TERRORIST ACT,BANNED PERMANEN
TIDAK MENJALANKAN RP CK ( GABUNG DAN BERKUMPUL KE FACTION LAMA DAN DLL ),120 HARI + 15 WARN
UN OFFICIAL / WARGA BERJUALAN SENJATA,120 menit + WARN 2 ( Sita senjata ) 
WARGA MEMILIKI DAN MENGGUNAKAN SENJATA DE/AK/SG ( YANG DILARANG UNTUK WARGA,14 HARI BAN - BANNED PERMANEN + SITA SEMUA SENJATA )
WARGA MENGGUNAKAN SENJATA YANG DILARANG DI SERVER,3 HARI - PERMANEN
WARGA/NON BADSIDE LIST BERJUALAN SENJATA,200 menit + WARN 5 ( Sita senjata/Reset Senjata )
